occ,m_x,m_y,m_z,energy_gamma
1.000000000000000000e+00 1.973463356546796277e+01 1.972787558045851952e+01 1.973093833884373183e+01 -2.989781642993622768e+01
1.000000000000000000e+00 -1.558466687671994144e+00 -1.558438987619600757e+00 -1.558361267338035150e+00 -1.066713177119653544e+01
1.000000000000000000e+00 -1.170627028699552952e+01 -1.170533921253745113e+01 -1.170094410220009351e+01 -1.066713175389621249e+01
1.000000000000000000e+00 -1.170852354330828859e+01 -1.170967709703148429e+01 -1.170154165803939073e+01 -1.066713171773340996e+01
1.000000000000000000e+00 1.262236551418481012e+00 1.262213194534184568e+00 1.262231394665519923e+00 -7.719114483275203220e+00
1.000000000000000000e+00 -3.532732779111540378e-01 -3.532533572424281787e-01 -3.532527777105579636e-01 7.769229496484363118e+00
1.000000000000000000e+00 -2.840279939240057949e+00 -2.840303618986576240e+00 -2.840146234787805035e+00 7.769229563066463840e+00
1.000000000000000000e+00 -2.840501633576311580e+00 -2.840448424905824165e+00 -2.840445743542013624e+00 7.769229602422582204e+00
0.000000000000000000e+00 3.928379189664003013e-01 3.928395970326387654e-01 3.928365663280999343e-01 1.250896779510939538e+01
0.000000000000000000e+00 -6.804974351982687741e-01 -6.804844366251505683e-01 -6.804977105510975344e-01 1.399645098082953609e+01
0.000000000000000000e+00 6.673089177781919012e-01 6.673884242148612200e-01 6.673914854513476325e-01 1.399645110846460838e+01
0.000000000000000000e+00 6.673293661727175419e-01 6.674729119349706030e-01 6.674477289587765760e-01 1.399645128536569239e+01
0.000000000000000000e+00 2.590604127083276254e+00 2.591208217617645637e+00 2.590625260750591519e+00 1.549249708086893307e+01
0.000000000000000000e+00 4.660231784784345521e-01 4.660565776016860617e-01 4.659923159095649692e-01 1.549249719798853420e+01
0.000000000000000000e+00 4.438275284138857857e-01 4.439107650160330487e-01 4.438464504210751227e-01 2.286772261815639595e+01
0.000000000000000000e+00 -2.180380994780755366e-01 -2.180184837351891447e-01 -2.180580498584166749e-01 3.018467040890841346e+01
