# Written on  3Jan2024 at 14:38:47 
# Input file comment: k-mesh for interpolation of mp-611517
#  Kpt_idx  K_x (1/ang)       K_y (1/ang)        K_z (1/ang)       Energy (eV)      EnergyDer_x       EnergyDer_y       EnergyDer_z
         1   0.000000000       0.000000000       0.000000000     -0.5305248741      0.7730924845E-06  0.7868500199E-06  0.7024068612E-06
         1   0.000000000       0.000000000       0.000000000     -0.5305248387      0.6311118269E-06  0.7811682074E-06  0.6142094858E-06
         1   0.000000000       0.000000000       0.000000000     -0.5305247844      0.1422740753E-06 -0.7742505598E-06  0.4353685676E-06
         2 -0.6912113099E-01  0.6912113099E-01 -0.6912113099E-01 -0.6018501813      0.6662688694     -0.6662690318      0.6662684422    
         2 -0.6912113099E-01  0.6912113099E-01 -0.6912113099E-01 -0.5377920094      0.1102506826     -0.8961027370E-01  0.6405403012E-02
         2 -0.6912113099E-01  0.6912113099E-01 -0.6912113099E-01 -0.5377919880      0.2726003471E-01 -0.4790093085E-01  0.1311049669    
         3 -0.1382422620      0.1382422620     -0.1382422620     -0.7912089442       1.112196314      -1.112195982       1.112196596    
         3 -0.1382422620      0.1382422620     -0.1382422620     -0.5579815857      0.5601029143E-01 -0.1755265431      0.1355274595    
         3 -0.1382422620      0.1382422620     -0.1382422620     -0.5579815394      0.1887007558     -0.6918125136E-01  0.1091816670    
         4 -0.2073633930      0.2073633930     -0.2073633930      -1.042420876       1.262756629      -1.262755522       1.262757643    
         4 -0.2073633930      0.2073633930     -0.2073633930     -0.5867184510     -0.1398920704E-01 -0.3085828044      0.1550848869    
         4 -0.2073633930      0.2073633930     -0.2073633930     -0.5867184417      0.3137762437      0.8799484120E-02  0.1447019215    
         5 -0.2764845336      0.2764845336     -0.2764845336      -1.297161344       1.157389323      -1.157389827       1.157386621    
         5 -0.2764845336      0.2764845336     -0.2764845336     -0.6180303323      0.2307008543     -0.2465318095     -0.3610827599E-01
         5 -0.2764845336      0.2764845336     -0.2764845336     -0.6180303169      0.6338330469E-01 -0.4755102544E-01  0.3301895473    
         6 -0.3456056646      0.3456056646     -0.3456056646      -1.509706302      0.8678271992     -0.8678270346      0.8678271106    
         6 -0.3456056646      0.3456056646     -0.3456056646     -0.6457362582      0.2390872838      0.4707795818E-03  0.1091960841    
         6 -0.3456056646      0.3456056646     -0.3456056646     -0.6457362383     -0.7212387103E-02 -0.2323457142      0.1226794835    
         7 -0.4147267956      0.4147267956     -0.4147267956      -1.649055749      0.4620033374     -0.4620014612      0.4620024774    
         7 -0.4147267956      0.4147267956     -0.4147267956     -0.6646387521      0.4233190229E-01 -0.1319655075      0.1651663579E-01
         7 -0.4147267956      0.4147267956     -0.4147267956     -0.6646387230      0.8487814234E-01  0.4756526570E-02  0.1106927204    
         8 -0.4838479266      0.4838479266     -0.4838479266      -1.697436651     -0.7249488188E-06  0.1635449554E-06 -0.1635480917E-06
         8 -0.4838479266      0.4838479266     -0.4838479266     -0.6713327247     -0.1758704508E-05  0.1217848919E-05 -0.1113041287E-06
         8 -0.4838479266      0.4838479266     -0.4838479266     -0.6713326694     -0.2118595677E-05  0.1569761798E-05 -0.5670144231E-06
         9 -0.5529690576      0.5529690576     -0.5529690576      -1.649055707     -0.4620020919      0.4620023275     -0.4620016098    
         9 -0.5529690576      0.5529690576     -0.5529690576     -0.6646386040     -0.1243908679      0.1802570105E-01 -0.4839688013E-01
         9 -0.5529690576      0.5529690576     -0.5529690576     -0.6646382516     -0.2817952501E-02  0.1091827483     -0.7881156419E-01
        10 -0.6220901886      0.6220901886     -0.6220901886      -1.509706306     -0.8678270290      0.8678272043     -0.8678277214    
        10 -0.6220901886      0.6220901886     -0.6220901886     -0.6457362668     -0.6543554947E-01  0.1881737250     -0.9419913800E-01
        10 -0.6220901886      0.6220901886     -0.6220901886     -0.6457362386     -0.1664370905      0.4369939238E-01 -0.1376750097    
        11 -0.6912113196      0.6912113196     -0.6912113196      -1.297161343      -1.157389285       1.157389395      -1.157386179    
        11 -0.6912113196      0.6912113196     -0.6912113196     -0.6180303323     -0.2453533227      0.2318863016      0.3611436676E-01
        11 -0.6912113196      0.6912113196     -0.6912113196     -0.6180303165     -0.4873012524E-01  0.6219987011E-01 -0.3301953688    
        12 -0.7603324603      0.7603324603     -0.7603324603      -1.042420855      -1.262757139       1.262756271      -1.262757839    
        12 -0.7603324603      0.7603324603     -0.7603324603     -0.5867184183     -0.1579480052      0.6394930965E-01 -0.2277827956    
        12 -0.7603324603      0.7603324603     -0.7603324603     -0.5867181708     -0.1418389831      0.2358365348     -0.7200411724E-01
        13 -0.8294535913      0.8294535913     -0.8294535913     -0.7912089400      -1.112195536       1.112196006      -1.112195823    
        13 -0.8294535913      0.8294535913     -0.8294535913     -0.5579815582     -0.1579110492      0.1104620198     -0.9868975371E-01
        13 -0.8294535913      0.8294535913     -0.8294535913     -0.5579814687     -0.8679755025E-01  0.1342469196     -0.1460180215    
        14 -0.8985747223      0.8985747223     -0.8985747223     -0.6018501804     -0.6662688261      0.6662700366     -0.6662684267    
