# Written on  3Jan2024 at 14:30:14 
# Input file comment: k-mesh for interpolation of mp-2064
#  Kpt_idx  K_x (1/ang)       K_y (1/ang)        K_z (1/ang)       Energy (eV)      EnergyDer_x       EnergyDer_y       EnergyDer_z
         1   0.000000000       0.000000000       0.000000000       3.593277435     -0.4830632670E-06  0.4871128976E-05  0.1077418364E-05
         1   0.000000000       0.000000000       0.000000000       3.593278181     -0.7073590887E-06  0.6845464561E-05  0.9645455461E-05
         1   0.000000000       0.000000000       0.000000000       3.593279386      0.3444926998E-05  0.1164673457E-04  0.1747263403E-05
         2   0.000000000       0.000000000      0.1553499446       3.506856630      0.5022288949E-05 -0.4127526938E-05  -1.070092996    
         2   0.000000000       0.000000000      0.1553499446       3.579253258      0.1424887700E-05 -0.2220489421E-05 -0.1782603587    
         2   0.000000000       0.000000000      0.1553499446       3.579255049      0.4553435355E-05 -0.3752585977E-05 -0.1782687457    
         3   0.000000000       0.000000000      0.3106999078       3.285086721     -0.5734873373E-05 -0.7853480971E-05  -1.686193599    
         3   0.000000000       0.000000000      0.3106999078       3.540270275     -0.2665393831E-05 -0.2822263141E-05 -0.3124629259    
         3   0.000000000       0.000000000      0.3106999078       3.540272067     -0.2977693665E-05 -0.3434490820E-05 -0.3124579120    
         4   0.000000000       0.000000000      0.4660498524       3.011784162      0.6388011734E-05 -0.2374308010E-05  -1.752500085    
         4   0.000000000       0.000000000      0.4660498524       3.485240695      0.1652064732E-04  0.1695375493E-05 -0.3845422348    
         4   0.000000000       0.000000000      0.4660498524       3.485242193      0.7102959237E-05  0.2429718208E-05 -0.3845423154    
         5   0.000000000       0.000000000      0.6213997970       2.762793252     -0.2265104867E-05 -0.2503445035E-05  -1.390177363    
         5   0.000000000       0.000000000      0.6213997970       3.426919508      0.4550804853E-06 -0.1121738524E-04 -0.3420202269    
         5   0.000000000       0.000000000      0.6213997970       3.426919648     -0.1401252890E-05 -0.8972952956E-05 -0.3420271102    
         6   0.000000000       0.000000000      0.7767497602       2.594050217     -0.1137681908E-06 -0.1487694947E-05 -0.7541805033    
         6   0.000000000       0.000000000      0.7767497602       3.384233487      0.7133208573E-05 -0.5561151548E-05 -0.1984673674    
         6   0.000000000       0.000000000      0.7767497602       3.384234364      0.2179381468E-05 -0.1111748267E-04 -0.1984659541    
         7   0.000000000       0.000000000      0.9320997048       2.534495303      0.1955339915E-05  0.4176470645E-06 -0.2643850076E-05
         7   0.000000000       0.000000000      0.9320997048       3.368119627      0.1713675067E-05  0.8898070326E-06  0.6160336504E-06
         7   0.000000000       0.000000000      0.9320997048       3.368120520     -0.1142250874E-05  0.1324762708E-06 -0.3285203768E-05
         8   0.000000000       0.000000000       1.087449649       2.594049839     -0.1148967090E-05 -0.2819136182E-05  0.7541821506    
         8   0.000000000       0.000000000       1.087449649       3.384233514     -0.5747346434E-05  0.1140808462E-05  0.1984678825    
         8   0.000000000       0.000000000       1.087449649       3.384234191     -0.4021209842E-05 -0.8763298678E-06  0.1984706483    
         9   0.000000000       0.000000000       1.242799613       2.762793218     -0.8555994008E-06  0.1551282997E-06   1.390177947    
         9   0.000000000       0.000000000       1.242799613       3.426919061      0.1584686080E-05  0.1886362401E-05  0.3420255973    
         9   0.000000000       0.000000000       1.242799613       3.426920689      0.1071689350E-05  0.3204744150E-05  0.3420216296    
        10   0.000000000       0.000000000       1.398149557       3.011784103      0.7750180634E-05  0.7211259257E-05   1.752501029    
        10   0.000000000       0.000000000       1.398149557       3.485241167      0.1140330084E-05  0.9585197563E-05  0.3845356823    
        10   0.000000000       0.000000000       1.398149557       3.485241474     -0.2710948249E-06  0.2501110142E-05  0.3845410625    
        11   0.000000000       0.000000000       1.553499502       3.285086909     -0.5003583986E-06 -0.2995330563E-05   1.686193649    
        11   0.000000000       0.000000000       1.553499502       3.540269984      0.4869566167E-05 -0.5545663680E-05  0.3124522558    
        11   0.000000000       0.000000000       1.553499502       3.540270947     -0.3791290300E-05 -0.7687559378E-05  0.3124609010    
        12   0.000000000       0.000000000       1.708849465       3.506856435     -0.2016190718E-05 -0.3032492633E-05   1.070090405    
        12   0.000000000       0.000000000       1.708849465       3.579253060      0.5481692286E-06 -0.4598292972E-06  0.1782665083    
        12   0.000000000       0.000000000       1.708849465       3.579253098      0.3790296119E-05 -0.4471380211E-05  0.1782651922    
        13   0.000000000      0.1553499446       0.000000000       3.506856915     -0.2686919315E-05  -1.070085200      0.1109926733E-06
        13   0.000000000      0.1553499446       0.000000000       3.579254006      0.8140592207E-05 -0.1782705928     -0.5523131998E-05
        13   0.000000000      0.1553499446       0.000000000       3.579254769      0.4410657499E-05 -0.1782729151     -0.2902471135E-05
        14   0.000000000      0.1553499446      0.1553499446       3.437114839     -0.6296013808E-06 -0.8878374105     -0.8878494944    
        14   0.000000000      0.1553499446      0.1553499446       3.563103709     -0.6709233210E-05 -0.1828914520     -0.1828868240    
        14   0.000000000      0.1553499446      0.1553499446       3.567054514     -0.2440732498E-05 -0.1556255390     -0.1556274876    
        15   0.000000000      0.1553499446      0.3106999078       3.248798078     -0.1469015462E-04 -0.4665633634      -1.450990832    
        15   0.000000000      0.1553499446      0.3106999078       3.525478398     -0.8864968884E-05 -0.1778786126     -0.2979277803    
        15   0.000000000      0.1553499446      0.3106999078       3.532510278     -0.1029173385E-04 -0.9943702131E-01 -0.2802310524    
        16   0.000000000      0.1553499446      0.4660498524       3.012443782     -0.4140757330E-06 -0.4583807815E-02  -1.517437440    
        16   0.000000000      0.1553499446      0.4660498524       3.472709037      0.4513859223E-06 -0.1510038013     -0.3692655865    
        16   0.000000000      0.1553499446      0.4660498524       3.483242047     -0.6262750770E-05 -0.2600377834E-01 -0.3416005757    
        17   0.000000000      0.1553499446      0.6213997970       2.797041809     -0.1187718808E-05  0.4094539696      -1.203633710    
        17   0.000000000      0.1553499446      0.6213997970       3.416255019     -0.2263076225E-05 -0.1291319005     -0.3375881877    
        17   0.000000000      0.1553499446      0.6213997970       3.431387019      0.4898877370E-05  0.5406789628E-01 -0.3078697381    
        18   0.000000000      0.1553499446      0.7767497602       2.650323352      0.3184643682E-07  0.6865893380     -0.6593669144    
        18   0.000000000      0.1553499446      0.7767497602       3.372989188     -0.3811944005E-05 -0.1322710907     -0.2058742237    
        18   0.000000000      0.1553499446      0.7767497602       3.392310758     -0.8255946841E-05  0.1029508222     -0.1835309398    
        19   0.000000000      0.1553499446      0.9320997048       2.598153461      0.2662375438E-05  0.7819134813      0.3031876819E-05
        19   0.000000000      0.1553499446      0.9320997048       3.356252141      0.7329981723E-05 -0.1382985714      0.2283937743E-05
        19   0.000000000      0.1553499446      0.9320997048       3.377491469     -0.1737737190E-05  0.1215918990      0.1236657089E-04
        20   0.000000000      0.1553499446       1.087449649       2.650323628      0.1149289147E-05  0.6865958694      0.6593629995    
        20   0.000000000      0.1553499446       1.087449649       3.372989339      0.4511039119E-05 -0.1322715130      0.2058709434    
        20   0.000000000      0.1553499446       1.087449649       3.392312398     -0.2785430622E-05  0.1029438393      0.1835214541    
        21   0.000000000      0.1553499446       1.242799613       2.797041717      0.6130540385E-06  0.4094536375       1.203636534    
        21   0.000000000      0.1553499446       1.242799613       3.416255081      0.3418732548E-05 -0.1291404016      0.3375921728    
        21   0.000000000      0.1553499446       1.242799613       3.431387051     -0.4236585410E-05  0.5406181027E-01  0.3078707291    
        22   0.000000000      0.1553499446       1.398149557       3.012444244      0.9558986575E-06 -0.4589897315E-02   1.517436557    
        22   0.000000000      0.1553499446       1.398149557       3.472709234      0.3978691790E-05 -0.1510061083      0.3692588480    
        22   0.000000000      0.1553499446       1.398149557       3.483243309     -0.6366740633E-05 -0.2600285480E-01  0.3416034469    
        23   0.000000000      0.1553499446       1.553499502       3.248797765     -0.3782627632E-05 -0.4665655228       1.450987275    
        23   0.000000000      0.1553499446       1.553499502       3.525477220     -0.4481899022E-05 -0.1778755279      0.2979246373    
        23   0.000000000      0.1553499446       1.553499502       3.532510255     -0.8415288767E-05 -0.9943168906E-01  0.2802205839    
        24   0.000000000      0.1553499446       1.708849465       3.437114802     -0.2498752540E-05 -0.8878383919      0.8878522266    
        24   0.000000000      0.1553499446       1.708849465       3.563103705      0.3041872344E-05 -0.1828860757      0.1828989082    
        24   0.000000000      0.1553499446       1.708849465       3.567054512     -0.2938179543E-05 -0.1556184995      0.1556341020    
        25   0.000000000      0.3106999078       0.000000000       3.285086878      0.9225131775E-05  -1.686201065      0.6063891466E-05
        25   0.000000000      0.3106999078       0.000000000       3.540270154      0.1304399302E-04 -0.3124618436     -0.1648072949E-05
        25   0.000000000      0.3106999078       0.000000000       3.540270979      0.1264957469E-04 -0.3124594985      0.6339768955E-05
        26   0.000000000      0.3106999078      0.1553499446       3.248799510      0.1787041757E-05  -1.450995509     -0.4665678778    
        26   0.000000000      0.3106999078      0.1553499446       3.525477606      0.6773683433E-05 -0.2979268045     -0.1778828453    
        26   0.000000000      0.3106999078      0.1553499446       3.532510365      0.8874412246E-06 -0.2802316148     -0.9943348424E-01
        27   0.000000000      0.3106999078      0.3106999078       3.144733510     -0.2869173605E-05 -0.8361609484     -0.8361655066    
        27   0.000000000      0.3106999078      0.3106999078       3.489841965     -0.6870669008E-05 -0.2707462394     -0.2707374399    
        27   0.000000000      0.3106999078      0.3106999078       3.509957201     -0.7441101397E-05 -0.1863312234     -0.1863328868    
        28   0.000000000      0.3106999078      0.4660498524       3.004925027      0.2370884082E-05 -0.1029419929     -0.9107216967    
        28   0.000000000      0.3106999078      0.4660498524       3.442735701     -0.1244778463E-06 -0.2228100844     -0.3305786927    
        28   0.000000000      0.3106999078      0.4660498524       3.477080771     -0.9626865544E-06 -0.5282583495E-01 -0.2271544779    
        29   0.000000000      0.3106999078      0.6213997970       2.875604360      0.3290129718E-05  0.5555852181     -0.7198217864    
        29   0.000000000      0.3106999078      0.6213997970       3.390570142      0.2724299834E-05 -0.1877393112     -0.3250844231    
        29   0.000000000      0.3106999078      0.6213997970       3.442329702      0.1222488694E-05  0.8324928420E-01 -0.2103803354    
