# Written on  8Apr2024 at 15:14:21 
# Input file comment: k-mesh for interpolation of mp-1784
#  Kpt_idx  K_x (1/ang)       K_y (1/ang)        K_z (1/ang)       Energy (eV)      EnergyDer_x       EnergyDer_y       EnergyDer_z
         1   0.000000000       0.000000000       0.000000000       2.679516020     -0.1702887426E-06  0.1415874414E-04  0.1725563562E-04
         1   0.000000000       0.000000000       0.000000000       2.679516288      0.4540576373E-05  0.9786551039E-05 -0.5559206247E-05
         1   0.000000000       0.000000000       0.000000000       2.679517452     -0.2918690911E-05  0.1174089646E-04  0.3266924151E-05
         2 -0.8708824753E-01  0.8708824753E-01 -0.8708824753E-01   2.634519434      0.3311403262     -0.3311130166      0.3311268195    
         2 -0.8708824753E-01  0.8708824753E-01 -0.8708824753E-01   2.650998075     -0.5607466088E-02 -0.4314712525      0.2196214835    
         2 -0.8708824753E-01  0.8708824753E-01 -0.8708824753E-01   2.650998301      0.4359435226      0.1161956150E-02  0.2107044280    
         3 -0.1741765055      0.1741765055     -0.1741765055       2.521294940      0.4984216751     -0.4984238814      0.4984138849    
         3 -0.1741765055      0.1741765055     -0.1741765055       2.572689894      0.3370762355     -0.4764253161      0.2894359620    
         3 -0.1741765055      0.1741765055     -0.1741765055       2.572690236      0.3982274806     -0.2588734044      0.4458510622    
         4 -0.2612647530      0.2612647530     -0.2612647530       2.390317900      0.4838984615     -0.4839434059      0.4838385694    
         4 -0.2612647530      0.2612647530     -0.2612647530       2.468531110      0.8195859306     -0.4393067220     -0.2746294823E-01
         4 -0.2612647530      0.2612647530     -0.2612647530       2.468531939      0.1377605043E-02 -0.3816780585      0.8483505706    
         5 -0.3483530006      0.3483530006     -0.3483530006       2.276086224      0.3755915865     -0.3756200869      0.3755992660    
         5 -0.3483530006      0.3483530006     -0.3483530006       2.367250331      0.2920324081     -0.4286297346      0.3246197867    
         5 -0.3483530006      0.3483530006     -0.3483530006       2.367250971      0.4048219509     -0.2682048264      0.3722591792    
         6 -0.4354412585      0.4354412585     -0.4354412585       2.200751468      0.1964092751     -0.1964349545      0.1964029910    
         6 -0.4354412585      0.4354412585     -0.4354412585       2.295028629     -0.2377492594E-02 -0.4138475061      0.1675063974    
         6 -0.4354412585      0.4354412585     -0.4354412585       2.295028787      0.3883367514      0.2783579637E-01  0.2184703596    
         7 -0.5225295061      0.5225295061     -0.5225295061       2.174515162     -0.1677943707E-05  0.3034706890E-05 -0.6553810616E-05
         7 -0.5225295061      0.5225295061     -0.5225295061       2.269346192     -0.1005538383E-04  0.2681369841E-07 -0.4147117821E-05
         7 -0.5225295061      0.5225295061     -0.5225295061       2.269346244      0.2658265912E-05  0.4751642489E-05 -0.5256944989E-05
         8 -0.6096177536      0.6096177536     -0.6096177536       2.200751560     -0.1964089794      0.1964176029     -0.1964035002    
         8 -0.6096177536      0.6096177536     -0.6096177536       2.295028572     -0.3362527576      0.1158835820     -0.1268109613    
         8 -0.6096177536      0.6096177536     -0.6096177536       2.295028648     -0.4969876584E-01  0.2701009040     -0.2591483334    
         9 -0.6967060116      0.6967060116     -0.6967060116       2.276086048     -0.3755995314      0.3755941203     -0.3756190904    
         9 -0.6967060116      0.6967060116     -0.6967060116       2.367250399     -0.7506880273      0.2243715077     -0.7025972680E-01
         9 -0.6967060116      0.6967060116     -0.6967060116       2.367250756      0.5383246810E-01  0.4724946152     -0.6266491025    
        10 -0.7837942591      0.7837942591     -0.7837942591       2.390316855     -0.4838846944      0.4838831866     -0.4839022800    
        10 -0.7837942591      0.7837942591     -0.7837942591       2.468531876     -0.2892867936E-01  0.8748757365     -0.3275950872    
