,name,bond_length,binding_energy,binding_energy_std,direct_gap,indirect_gap,hole_mass,elec_mass,eff_mass,elec_eps,ionic_eps,omega_irr,distance_mean,vbm_deriv,nv_unnorm,nv,nc_unnorm,nc,binary,vbm_deriv_L2,nv_dict,nc_dict,WM_elec,WM_total,nvnc,nvnc_unnorm
mp-66,C,1.54,75.0,5.0,5.614058982416828,4.1905970568113515,0.34479687000150205,0.40000340465989664,0.18517705566016043,5.81197126,0.0,0.696025,0.500598268348716,3.9736542697833364,0.12488396267948271,1.0,0.0887313916938387,1.0,False,4.948411705364439,"{'E0_r0': 1.0, 'E0_r1': 1.0, 'E0_r2': 1.0, 'E1_r0': 1.0, 'E1_r1': 1.0, 'E1_r2': 1.0, 'E2_r0': 1.0, 'E2_r1': 1.0, 'E2_r2': 1.0}","{'E0_r0': 1.0, 'E0_r1': 1.0, 'E0_r2': 1.0, 'E1_r0': 1.0, 'E1_r1': 1.0, 'E1_r2': 1.0, 'E2_r0': 1.0, 'E2_r1': 1.0, 'E2_r2': 1.0}",74.58661977944163,74.58661977944163,1.0,0.011081127808791915
mp-111,Ne,2.97,4100.0,0.0,11.865512069255024,11.865512069255024,5.675707650032162,0.7698998273037047,0.6779386357222293,1.32151059,0.0,0.44273333333333337,0.0,0.26367830377220275,5.024594503418596,1.0,0.0064554496433213,1.0,False,0.27701017664651817,"{'E0_r0': 1.0, 'E0_r1': 1.0, 'E0_r2': 1.0, 'E1_r0': 1.0, 'E1_r1': 1.0, 'E1_r2': 1.0, 'E2_r0': 1.0, 'E2_r1': 1.0, 'E2_r2': 1.0}","{'E0_r0': 1.0, 'E0_r1': 1.0, 'E0_r2': 1.0, 'E1_r0': 1.0, 'E1_r1': 1.0, 'E1_r2': 1.0, 'E2_r0': 1.0, 'E2_r1': 1.0, 'E2_r2': 1.0}",5281.651684683373,5281.651684683373,1.0,0.03243601679492774
mp-149,Si,2.36,14.5,0.2,2.5573986989625457,0.5698996684107137,0.22122052656288554,0.2629860782005554,0.12015102257156916,12.880761156666667,1.3333333333333334e-08,2.058875,0.49940505374135796,4.60766286738849,0.17025046035084762,1.0,0.1092058593481355,1.0,False,3.6315610351451495,"{'E0_r0': 1.0, 'E0_r1': 1.0, 'E0_r2': 1.0, 'E1_r0': 1.0, 'E1_r1': 1.0, 'E1_r2': 1.0, 'E2_r0': 1.0, 'E2_r1': 1.0, 'E2_r2': 1.0}","{'E0_r0': 1.0, 'E0_r1': 1.0, 'E0_r2': 1.0, 'E1_r0': 1.0, 'E1_r1': 1.0, 'E1_r2': 1.0, 'E2_r0': 1.0, 'E2_r1': 1.0, 'E2_r2': 1.0}",9.85292288876687,9.85292286836865,1.0,0.018592347827029985
mp-463,KF,2.65,900.0,0.0,6.313560140667991,6.313560140667991,2.751492995643625,0.5448566569777417,0.45479680048864607,1.9954137299999999,3.417175386666667,0.771,1.2299024559031503e-07,0.5127492841907112,5.136539636985144,0.9769799906062064,0.0072237865195768,0.5694843685153751,True,0.42153506428519455,"{'E0_r0': 0.9782102117654843, 'E0_r1': 0.9769758889256817, 'E0_r2': 0.9739015103975514, 'E1_r0': 0.9782137352417738, 'E1_r1': 0.976980030358592, 'E1_r2': 0.9739027140939224, 'E2_r0': 0.9782137352417738, 'E2_r1': 0.976980030358592, 'E2_r2': 0.9739027140939224}","{'E0_r0': 0.567592501550379, 'E0_r1': 0.5697412816479575, 'E0_r2': 0.5489822578673248, 'E1_r0': 0.567733366084783, 'E1_r1': 0.5694842748533705, 'E1_r2': 0.5487966961691612, 'E2_r0': 0.5802529671224379, 'E2_r1': 0.579338162744418, 'E2_r2': 0.5557415783953796}",1554.075649680279,211.21655171571555,0.5563748330025325,0.03710526578692519
mp-661,AlN,1.9,66.3,13.47,4.068799747763953,4.068799747763953,0.6567151215277903,0.2953277956833536,0.20371584697133419,4.537506953333334,4.21212398,1.34175,0.024689069517025517,2.8597534872742174,1.722386705010245,0.8996778806689274,0.031754886054391,0.7489261798246485,True,1.627738469532226,"{'E0_r0': 0.9516997965271455, 'E0_r1': 0.9039613093616824, 'E0_r2': 0.8252113337827097, 'E1_r0': 0.9488310516518149, 'E1_r1': 0.8996765640603287, 'E1_r2': 0.8203026748479171, 'E2_r0': 0.945296963947212, 'E2_r1': 0.8942341541590353, 'E2_r2': 0.8138268110869988}","{'E0_r0': 0.8871063470152621, 'E0_r1': 0.7888462475642374, 'E0_r2': 0.6828150482707055, 'E1_r0': 0.8615832830403684, 'E1_r1': 0.7489255044233977, 'E1_r2': 0.6399529203504669, 'E2_r0': 0.8004838691809502, 'E2_r1': 0.6641524010860481, 'E2_r2': 0.5604540577153969}",134.6203991953834,36.204788282184396,0.6737923182421157,0.0546941935591983
mp-682,NaF,2.29,800.0,0.0,6.58306094904052,6.58306094904052,2.3683895384561264,0.5658754582387503,0.4567459029335539,1.868682373333333,2.5994025733333337,0.6174333333333334,1.1669000287080766e-07,0.4031841879629152,3.869119882649425,0.9866939849556449,0.0114695019317425,0.5808258316941538,True,0.3955079362455516,"{'E0_r0': 0.9925293765960269, 'E0_r1': 0.9874915504481432, 'E0_r2': 0.9709905017199522, 'E1_r0': 0.9919969943954647, 'E1_r1': 0.9866938621199591, 'E1_r2': 0.969557308131311, 'E2_r0': 0.9909416453718768, 'E2_r1': 0.9850442096849923, 'E2_r2': 0.9665555988876146}","{'E0_r0': 0.7297582311004679, 'E0_r1': 0.5612437307256227, 'E0_r2': 0.48085171374635904, 'E1_r0': 0.744942314432217, 'E1_r1': 0.5808184669883195, 'E1_r2': 0.49434040091540843, 'E2_r0': 0.744942314432217, 'E2_r1': 0.5808184669883195, 'E2_r2': 0.49434040091540843}",1779.6080005648018,311.28090833839315,0.5730973544394813,0.0443768779681909
mp-804,GaN,1.95,23.3,2.77,1.9635427894395536,1.963542789439552,0.45980309133981934,0.1733482094415503,0.1258878288350389,5.769246273333334,4.575057913333333,1.6758333333333333,0.0750861857526275,3.7169016193928854,0.8287562998181469,0.8805509473682673,0.012747743599604,0.7617491929222235,True,2.1148922630219325,"{'E0_r0': 0.9007648458981926, 'E0_r1': 0.8840135916777437, 'E0_r2': 0.8279349941387915, 'E1_r0': 0.8991856278755445, 'E1_r1': 0.8805517357668549, 'E1_r2': 0.8234124250734499, 'E2_r0': 0.8980556621797928, 'E2_r1': 0.8759774882334945, 'E2_r2': 0.816855261521617}","{'E0_r0': 0.8564211330836977, 'E0_r1': 0.7617520660972488, 'E0_r2': 0.6762012292526961, 'E1_r0': 0.8564211330836977, 'E1_r1': 0.7617520660972488, 'E1_r2': 0.6762012292526961, 'E2_r0': 0.8634588139161253, 'E2_r1': 0.7728594000964215, 'E2_r2': 0.6886762787462688}",51.459582015117356,16.006701447137797,0.670758973484677,0.010564772816638276
mp-856,SnO2,2.06,32.7,0.0,1.0247271104583546,1.024727110458354,1.445542367704211,0.18546912254102546,0.16437865467990342,4.467711293333333,7.5511139300000005,1.1479666666666668,0.03652238476569196,1.7378566773999269,3.3776051919104226,0.984982098597648,0.0136854054483204,0.6312202628271648,False,0.9349787583111351,"{'E0_r0': 0.9904079432287458, 'E0_r1': 0.9882039959061387, 'E0_r2': 0.9778045994883074, 'E1_r0': 0.9869772137217182, 'E1_r1': 0.9849821363500845, 'E1_r2': 0.9738416189121433, 'E2_r0': 0.9835583419868381, 'E2_r1': 0.9814801485663112, 'E2_r2': 0.9693334803527581}","{'E0_r0': 0.7572309069401033, 'E0_r1': 0.6312195931745516, 'E0_r2': 0.5709641005655952, 'E1_r0': 0.7572309069401033, 'E1_r1': 0.6312195931745516, 'E1_r2': 0.5709641005655952, 'E2_r0': 0.7689435140868284, 'E2_r1': 0.6467131901871611, 'E2_r2': 0.5853961621843722}",112.04587878174544,15.482534253647545,0.6217406591568597,0.04622389649564616
mp-909,As2Se3,2.41,53.5,3.5,1.6616679169921211,1.4077886708778968,0.9346356698036141,0.8735153395991643,0.4515212447768146,8.686457463333333,2.426362896666667,3.472272222222222,0.31179129865243893,4.174554415264633,6.625511002796119,0.8494291092296588,1.9481100336467847,0.5303054814012341,False,0.9151953247534712,"{'E0_r0': 0.8568723121060356, 'E0_r1': 0.8533383099933539, 'E0_r2': 0.8458759413034762, 'E1_r0': 0.8527963482730364, 'E1_r1': 0.8494291997355757, 'E1_r2': 0.8420533814025359, 'E2_r0': 0.8504166792841895, 'E2_r1': 0.8468999086935607, 'E2_r2': 0.8394265030246658}","{'E0_r0': 0.5397401796187468, 'E0_r1': 0.5332385751449312, 'E0_r2': 0.528446398431132, 'E1_r0': 0.5386591507952998, 'E1_r1': 0.5303055259513465, 'E1_r2': 0.5244155380504647, 'E2_r0': 0.5362649675075768, 'E2_r1': 0.5259540481391268, 'E2_r2': 0.519168648010212}",81.41669373116005,49.745095467194574,0.45045691268625565,12.90722446258429
mp-1087,SrS,3.02,70.0,0.0,2.982770488532017,2.517074012061884,0.5295126368350642,0.42081314068999787,0.23447314701060945,4.65756922,7.043458403333333,2.3276,2.303284380978848e-07,1.713565506569869,1.3018808374390158,0.9334854849708605,0.0187871948842148,0.31835543395974103,True,1.1707236480037413,"{'E0_r0': 0.9291519002191478, 'E0_r1': 0.9406298005786607, 'E0_r2': 0.9420549259101922, 'E1_r0': 0.9243903683713682, 'E1_r1': 0.9334862305094225, 'E1_r2': 0.9325187262899156, 'E2_r0': 0.9175446168607864, 'E2_r1': 0.9283393170075918, 'E2_r2': 0.9283365775431294}","{'E0_r0': 0.2870933322817088, 'E0_r1': 0.2826927433878768, 'E0_r2': 0.2916369991549768, 'E1_r0': 0.32976303907501364, 'E1_r1': 0.31835813022299014, 'E1_r2': 0.319082848025819, 'E2_r0': 0.32120115990815934, 'E2_r1': 0.31044668375893886, 'E2_r2': 0.31210635735807957}",147.0601970760654,23.300528430593832,0.2971801766630176,0.024458689008991556
