# Written on  3Jan2024 at 14:27:39 
# Input file comment: k-mesh for interpolation of mp-682
#  Kpt_idx  K_x (1/ang)       K_y (1/ang)        K_z (1/ang)       Energy (eV)      EnergyDer_x       EnergyDer_y       EnergyDer_z
         1   0.000000000       0.000000000       0.000000000       1.615035470      0.3746318704E-05 -0.3659875691E-05 -0.4310531483E-05
         1   0.000000000       0.000000000       0.000000000       1.615035580     -0.8751500650E-06 -0.6497611239E-05 -0.4536394200E-05
         1   0.000000000       0.000000000       0.000000000       1.615037009     -0.1684557560E-05 -0.1744958771E-05  0.5176048617E-06
         2 -0.1145282228      0.1145282228     -0.1145282228       1.469342878      0.8015798771     -0.8015728165      0.8015717184    
         2 -0.1145282228      0.1145282228     -0.1145282228       1.595402849      0.1084358610     -0.1041843702      0.1092469162    
         2 -0.1145282228      0.1145282228     -0.1145282228       1.595403240      0.1061386433     -0.1103958017      0.1053377163    
         3 -0.2290564593      0.2290564593     -0.2290564593       1.111456356       1.208301403      -1.208309550       1.208299738    
         3 -0.2290564593      0.2290564593     -0.2290564593       1.545539682      0.2146659224     -0.1834041750      0.1356618309    
         3 -0.2290564593      0.2290564593     -0.2290564593       1.545539933      0.1411482783     -0.1724159672      0.2201616903    
         4 -0.3435846821      0.3435846821     -0.3435846821      0.6841616053       1.223091680      -1.223097714       1.223096965    
         4 -0.3435846821      0.3435846821     -0.3435846821       1.478372871      0.2437956886     -0.2031679768      0.1655154208    
         4 -0.3435846821      0.3435846821     -0.3435846821       1.478373019      0.1645268734     -0.2051482218      0.2428061646    
         5 -0.4581129049      0.4581129049     -0.4581129049      0.3034814666      0.9531764273     -0.9531802517      0.9531831768    
         5 -0.4581129049      0.4581129049     -0.4581129049       1.411645205      0.2065326174     -0.1355075732      0.1804650086    
         5 -0.4581129049      0.4581129049     -0.4581129049       1.411645322      0.1418040258     -0.2128345524      0.1678704736    
         6 -0.5726411415      0.5726411415     -0.5726411415      0.4824419582E-01  0.5167194955     -0.5167255034      0.5167339155    
         6 -0.5726411415      0.5726411415     -0.5726411415       1.363470865      0.1273636453     -0.8577505073E-01  0.9490211822E-01
         6 -0.5726411415      0.5726411415     -0.5726411415       1.363471167      0.7799966005E-01 -0.1195846715      0.1104517190    
         7 -0.6871693643      0.6871693643     -0.6871693643     -0.4250352211E-01 -0.5715347298E-05 -0.9190587392E-06  0.1353533193E-05
         7 -0.6871693643      0.6871693643     -0.6871693643       1.344766317     -0.1690898269E-05  0.1606238911E-05 -0.7691480322E-07
         7 -0.6871693643      0.6871693643     -0.6871693643       1.344766750     -0.1185847586E-05  0.8422363782E-06  0.8914278888E-06
         8 -0.8016975871      0.8016975871     -0.8016975871      0.4824482946E-01 -0.5167238048      0.5167271704     -0.5167203320    
         8 -0.8016975871      0.8016975871     -0.8016975871       1.363471050     -0.7884931925E-01  0.1116774176     -0.1175109847    
         8 -0.8016975871      0.8016975871     -0.8016975871       1.363471922     -0.1265137772      0.9368206861E-01 -0.8784574802E-01
         9 -0.9162258236      0.9162258236     -0.9162258236      0.3034800012     -0.9531785658      0.9531801794     -0.9531778940    
         9 -0.9162258236      0.9162258236     -0.9162258236       1.411645089     -0.1364876676      0.1687103817     -0.2173073874    
