# Written on  8Apr2024 at 15:13:24 
# Input file comment: k-mesh for interpolation of mp-463
#  Kpt_idx  K_x (1/ang)       K_y (1/ang)        K_z (1/ang)       Energy (eV)      EnergyDer_x       EnergyDer_y       EnergyDer_z
         1   0.000000000       0.000000000       0.000000000       1.644983651     -0.9919530545E-06 -0.1344116563E-05 -0.4500164780E-06
         1   0.000000000       0.000000000       0.000000000       1.644983670      0.1333254148E-05 -0.2339814544E-05 -0.1891127807E-05
         1   0.000000000       0.000000000       0.000000000       1.644983676      0.1902396444E-05 -0.3487845826E-06 -0.2707969481E-05
         2 -0.9862797437E-01  0.9862797437E-01 -0.9862797437E-01   1.579139533      0.4287268866     -0.4287296002      0.4287254933    
         2 -0.9862797437E-01  0.9862797437E-01 -0.9862797437E-01   1.619933893      0.1420553141     -0.1577855451      0.1926443325    
         2 -0.9862797437E-01  0.9862797437E-01 -0.9862797437E-01   1.619933963      0.1862702078     -0.1705402854      0.1356774461    
         3 -0.1972559606      0.1972559606     -0.1972559606       1.408705802      0.6817899223     -0.6817901547      0.6817897727    
         3 -0.1972559606      0.1972559606     -0.1972559606       1.552111597      0.1688439093     -0.4569920771      0.2256836326    
         3 -0.1972559606      0.1972559606     -0.1972559606       1.552111625      0.3988347220     -0.1106886904      0.3419971165    
         4 -0.2958839349      0.2958839349     -0.2958839349       1.200170314      0.6966312961     -0.6966303419      0.6966314307    
         4 -0.2958839349      0.2958839349     -0.2958839349       1.460163863      0.4794659329     -0.1170003111      0.3714621216    
         4 -0.2958839349      0.2958839349     -0.2958839349       1.460163870      0.1658185419     -0.5282876437      0.2738220230    
         5 -0.3945119093      0.3945119093     -0.3945119093       1.011341227      0.5545722531     -0.5545703355      0.5545709036    
         5 -0.3945119093      0.3945119093     -0.3945119093       1.370219013      0.1896734730     -0.4579990202      0.1646270942    
         5 -0.3945119093      0.3945119093     -0.3945119093       1.370219031      0.3518585184     -0.8353213381E-01  0.3769056783    
         6 -0.4931398955      0.4931398955     -0.4931398955      0.8832722578      0.3016707309     -0.3016697346      0.3016727778    
         6 -0.4931398955      0.4931398955     -0.4931398955       1.306279907      0.9453686467E-01 -0.1476841398      0.2210479694    
         6 -0.4931398955      0.4931398955     -0.4931398955       1.306280491      0.2143079081     -0.1611577099      0.8780109727E-01
         7 -0.5917678699      0.5917678699     -0.5917678699      0.8374314116     -0.4944672486E-07  0.1060880510E-05  0.6285035215E-06
         7 -0.5917678699      0.5917678699     -0.5917678699       1.282625162     -0.5715653918E-06  0.2053237501E-05 -0.1004231192E-05
         7 -0.5917678699      0.5917678699     -0.5917678699       1.282625486      0.1144901840E-05 -0.4535144283E-06  0.1717262694E-05
         8 -0.6903958442      0.6903958442     -0.6903958442      0.8832723879     -0.3016710253      0.3016716591     -0.3016721498    
         8 -0.6903958442      0.6903958442     -0.6903958442       1.306280230     -0.1868855723      0.1175033158     -0.1588825267    
         8 -0.6903958442      0.6903958442     -0.6903958442       1.306280510     -0.1219624516      0.1913435263     -0.1499658214    
         9 -0.7890238305      0.7890238305     -0.7890238305       1.011341409     -0.5545708634      0.5545717790     -0.5545697086    
         9 -0.7890238305      0.7890238305     -0.7890238305       1.370219285     -0.4211632123      0.1133626636     -0.2777704801    
         9 -0.7890238305      0.7890238305     -0.7890238305       1.370219636     -0.1203682905      0.4281689998     -0.2637600105    
        10 -0.8876518048      0.8876518048     -0.8876518048       1.200170317     -0.6966283263      0.6966344518     -0.6966294296    
        10 -0.8876518048      0.8876518048     -0.8876518048       1.460163860     -0.3980861016      0.1818501844     -0.3879871254    
        10 -0.8876518048      0.8876518048     -0.8876518048       1.460163874     -0.2471933975      0.4634338594     -0.2572986531    
        11 -0.9862797792      0.9862797792     -0.9862797792       1.408705862     -0.6817902916      0.6817891468     -0.6817906520    
        11 -0.9862797792      0.9862797792     -0.9862797792       1.552111596     -0.1544020738      0.3096763101     -0.3874439807    
        11 -0.9862797792      0.9862797792     -0.9862797792       1.552111607     -0.4132776079      0.2580051061     -0.1802359641    
        12  -1.084907765       1.084907765      -1.084907765       1.579139530     -0.4287259398      0.4287293204     -0.4287265920    
        12  -1.084907765       1.084907765      -1.084907765       1.619933896     -0.1976992721      0.2440731195     -0.5071733160E-01
        12  -1.084907765       1.084907765      -1.084907765       1.619933906     -0.1306195539      0.8426044155E-01 -0.2776052375    
        13  0.9862797437E-01  0.9862797437E-01  0.9862797437E-01   1.579139504     -0.4287183715     -0.4287284737     -0.4287342014    
        13  0.9862797437E-01  0.9862797437E-01  0.9862797437E-01   1.619933890     -0.1805950182     -0.6425374733E-01 -0.2476350858    
        13  0.9862797437E-01  0.9862797437E-01  0.9862797437E-01   1.619933922     -0.1477172076     -0.2640758514     -0.8069580981E-01
        14   0.000000000      0.1972559487       0.000000000       1.518285876      0.1978296497E-05  -1.149110477     -0.1169484864E-05
        14   0.000000000      0.1972559487       0.000000000       1.636481161      0.2074056683E-05 -0.7970656800E-01 -0.2988834825E-05
        14   0.000000000      0.1972559487       0.000000000       1.636481189      0.3146505783E-05 -0.7970882536E-01 -0.1637103415E-06
        15 -0.9862798620E-01  0.2958839349     -0.9862798620E-01   1.380318920      0.1627967727      -1.257393953      0.1627990093    
        15 -0.9862798620E-01  0.2958839349     -0.9862798620E-01   1.590736173      0.3414591960     -0.1151325013      0.3414627779    
        15 -0.9862798620E-01  0.2958839349     -0.9862798620E-01   1.604606856      0.2235424182     -0.1018537513      0.2235470468    
        16 -0.1972559606      0.3945119093     -0.1972559606       1.218815528      0.3385971283     -0.9586183687      0.3385991945    
        16 -0.1972559606      0.3945119093     -0.1972559606       1.493719917      0.4600673117     -0.1668893644      0.4600664689    
        16 -0.1972559606      0.3945119093     -0.1972559606       1.533766942      0.3801771657     -0.9363997938E-01  0.3801885196    
        17 -0.2958839349      0.4931398837     -0.2958839349       1.066494999      0.4761200756     -0.4588339189      0.4761183103    
        17 -0.2958839349      0.4931398837     -0.2958839349       1.390752543      0.3758536957     -0.1864323665      0.3758483023    
        17 -0.2958839349      0.4931398837     -0.2958839349       1.444134765      0.4271674756     -0.6306313352E-01  0.4271676243    
        18 -0.3945119211      0.5917678699     -0.3945119211      0.9490345457      0.4785344462      0.2268137997E-01  0.4785349949    
        18 -0.3945119211      0.5917678699     -0.3945119211       1.318429377      0.2069513031     -0.8144208259E-01  0.2069509674    
        18 -0.3945119211      0.5917678699     -0.3945119211       1.360900297      0.3583271360     -0.2121510939E-01  0.3583265720    
        19 -0.4931398955      0.6903958442     -0.4931398955      0.8872337766      0.3190587016      0.3429029932      0.3190591208    
        19 -0.4931398955      0.6903958442     -0.4931398955       1.296479421      0.5432736651E-01  0.1641596209      0.5432683014E-01
        19 -0.4931398955      0.6903958442     -0.4931398955       1.304125216      0.2029982045      0.1943868495E-01  0.2029968690    
        20 -0.5917678699      0.7890238186     -0.5917678699      0.8943782665      0.2131692735E-01  0.4845520461      0.2131350791E-01
        20 -0.5917678699      0.7890238186     -0.5917678699       1.288648115     -0.1251351858E-01  0.5390221636E-01 -0.1251737429E-01
        20 -0.5917678699      0.7890238186     -0.5917678699       1.328245734     -0.5566734309E-01  0.4575364476     -0.5567307057E-01
        21 -0.6903958561      0.8876518048     -0.6903958561      0.9727054619     -0.3260982088      0.4808016009     -0.3260977253    
        21 -0.6903958561      0.8876518048     -0.6903958561       1.318386644     -0.2194323218      0.7092401076E-01 -0.2194295551    
        21 -0.6903958561      0.8876518048     -0.6903958561       1.402456802     -0.1119417201      0.6733655101     -0.1119421341    
        22 -0.7890238305      0.9862797792     -0.7890238305       1.112215586     -0.6414583893      0.3669241873     -0.6414604766    
        22 -0.7890238305      0.9862797792     -0.7890238305       1.385304361     -0.3781836401      0.6472980884E-01 -0.3781806957    
        22 -0.7890238305      0.9862797792     -0.7890238305       1.496404430     -0.1314270648      0.6937122236     -0.1314262423    
        23 -0.8876518048       1.084907754     -0.8876518048       1.287899773     -0.8304316210      0.1950950723     -0.8304323813    
        23 -0.8876518048       1.084907754     -0.8876518048       1.473676865     -0.4461092252      0.3877784546E-01 -0.4461087357    
        23 -0.8876518048       1.084907754     -0.8876518048       1.580950185     -0.1249622948      0.4601643528     -0.1249618344    
        24 -0.9862797910       1.183535740     -0.9862797910       1.463229491     -0.8009971354      0.7832615958E-06 -0.8009996526    
        24 -0.9862797910       1.183535740     -0.9862797910       1.560295434     -0.3896658833     -0.1108906115E-05 -0.3896660228    
        24 -0.9862797910       1.183535740     -0.9862797910       1.627112305     -0.9157749777E-01  0.1624776254E-05 -0.9157602639E-01
        25  0.1972559606      0.1972559606      0.1972559606       1.408705815     -0.6817878437     -0.6817915044     -0.6817888942    
        25  0.1972559606      0.1972559606      0.1972559606       1.552111604     -0.3986958534     -0.3284894842     -0.1243326242    
        25  0.1972559606      0.1972559606      0.1972559606       1.552111612     -0.1689877577     -0.2391909176     -0.4433411723    
        26  0.9862798620E-01  0.2958839349      0.9862798620E-01   1.380318928     -0.1628001292      -1.257394370     -0.1627972778    
        26  0.9862798620E-01  0.2958839349      0.9862798620E-01   1.590736171     -0.3414590064     -0.1151371791     -0.3414639682    
        26  0.9862798620E-01  0.2958839349      0.9862798620E-01   1.604606852     -0.2235428794     -0.1018560992     -0.2235434541    
