# Written on 11Apr2024 at 15:14:19 
# Input file comment: k-mesh for interpolation of KRrBr2
#  Kpt_idx  K_x (1/ang)       K_y (1/ang)        K_z (1/ang)       Energy (eV)      EnergyDer_x       EnergyDer_y       EnergyDer_z
         8 -0.5340120098      0.5340120098     -0.5340120098       1.858884296      -1.026674789      0.8767290761     -0.3297477568E-01
         8 -0.5340120098      0.5340120098     -0.5340120098       1.858885227     -0.2642410324      0.4141975010      -1.257946342    
         9 -0.6102994398      0.6102994398     -0.6102994398       1.102968558      0.3205558967     -0.4557877197      0.4900097064    
         9 -0.6102994398      0.6102994398     -0.6102994398       1.102968642      0.5236871725     -0.3884498039      0.3542358272    
         9 -0.6102994398      0.6102994398     -0.6102994398       1.160147459      0.5586348122     -0.5586255345      0.5586298051    
         9 -0.6102994398      0.6102994398     -0.6102994398       1.815950991     -0.9821964610      0.9821912339     -0.9821941013    
         9 -0.6102994398      0.6102994398     -0.6102994398       1.992786195     -0.6564048821      0.2864495988E-01 -0.8444947032    
         9 -0.6102994398      0.6102994398     -0.6102994398       1.992786423     -0.3632946253      0.9910574220     -0.1751976901    
        10 -0.6865868697      0.6865868697     -0.6865868697       1.028275538      0.2650995156     -0.3065040873      0.1010844568    
        10 -0.6865868697      0.6865868697     -0.6865868697       1.028276284      0.1833497169     -0.1419540341      0.3473864009    
        10 -0.6865868697      0.6865868697     -0.6865868697       1.047785951      0.3785265383     -0.3785224095      0.3785135915    
        10 -0.6865868697      0.6865868697     -0.6865868697       2.025513588     -0.7539574349      0.7539577697     -0.7539544113    
        10 -0.6865868697      0.6865868697     -0.6865868697       2.085467822     -0.1728399796      0.5231384419     -0.1627221830    
        10 -0.6865868697      0.6865868697     -0.6865868697       2.085467943     -0.3996242228      0.4933363031E-01 -0.4097428134    
        11  0.7628742997E-01  0.7628742997E-01  0.7628742997E-01   1.028275497      0.2694806584      0.3043844079      0.9881500247E-01
        11  0.7628742997E-01  0.7628742997E-01  0.7628742997E-01   1.028275820      0.1789799001      0.1440740276      0.3496396592    
        11  0.7628742997E-01  0.7628742997E-01  0.7628742997E-01   1.047785922      0.3785171420      0.3785179423      0.3785238890    
        11  0.7628742997E-01  0.7628742997E-01  0.7628742997E-01   2.025513864     -0.7539542512     -0.7539615533     -0.7539598688    
        11  0.7628742997E-01  0.7628742997E-01  0.7628742997E-01   2.085467735     -0.2742530273     -0.6005737927E-01 -0.5243959329    
        11  0.7628742997E-01  0.7628742997E-01  0.7628742997E-01   2.085468051     -0.2982228741     -0.5124094963     -0.4806945671E-01
        12   0.000000000      0.1525748599       0.000000000       1.016512496     -0.3235671747E-06  0.1796588784     -0.9424814669E-06
        12   0.000000000      0.1525748599       0.000000000       1.016512662      0.3446915602E-05  0.1796600023     -0.3870193003E-05
        12   0.000000000      0.1525748599       0.000000000       1.104642431      0.1349228061E-05   1.317656070     -0.4917522045E-05
        12   0.000000000      0.1525748599       0.000000000       1.913764407      0.1987828163E-05  -2.463200652     -0.2022715346E-05
        12   0.000000000      0.1525748599       0.000000000       2.118132437     -0.8030632525E-05 -0.1098514682E-01  0.3848104760E-05
        12   0.000000000      0.1525748599       0.000000000       2.118132579      0.1340204357E-04 -0.1098368596E-01  0.1548980607E-05
        13 -0.7628742997E-01  0.2288622899     -0.7628742997E-01   1.054286707     -0.2783221625      0.2393350413     -0.2783213499    
        13 -0.7628742997E-01  0.2288622899     -0.7628742997E-01   1.057131669     -0.3150409988      0.1876921375     -0.3150402406    
        13 -0.7628742997E-01  0.2288622899     -0.7628742997E-01   1.235105160     -0.9236931294E-01   1.853689886     -0.9236562970E-01
        13 -0.7628742997E-01  0.2288622899     -0.7628742997E-01   1.698111737      0.3823839983E-01  -2.937755701      0.3823386693E-01
        13 -0.7628742997E-01  0.2288622899     -0.7628742997E-01   2.068619770      0.6017646227      0.3772443138E-01  0.6017642620    
        13 -0.7628742997E-01  0.2288622899     -0.7628742997E-01   2.083915657      0.4252873059     -0.1768681449E-01  0.4252860852    
        14 -0.1525748599      0.3051497199     -0.1525748599       1.130477598     -0.5112847797      0.1154391903E-01 -0.5112797857    
        14 -0.1525748599      0.3051497199     -0.1525748599       1.135095170     -0.5234078782      0.2538919098     -0.5234129276    
        14 -0.1525748599      0.3051497199     -0.1525748599       1.401733380     -0.1930351950E-01   2.166948529     -0.1930501100E-01
        14 -0.1525748599      0.3051497199     -0.1525748599       1.479839812     -0.1228703086      -2.786325273     -0.1228700616    
        14 -0.1525748599      0.3051497199     -0.1525748599       1.958065343      0.9069973531      0.1765247554      0.9070001889    
        14 -0.1525748599      0.3051497199     -0.1525748599       1.990229537      0.7615867415     -0.2692067543E-01  0.7615892765    
        15 -0.2288622899      0.3814371498     -0.2288622899       1.204983789     -0.6044202851     -0.3383840834     -0.6044220922    
        15 -0.2288622899      0.3814371498     -0.2288622899       1.249154699     -0.7196019470      0.2255792241     -0.7196004953    
        15 -0.2288622899      0.3814371498     -0.2288622899       1.315946095     -0.3801805174      -2.418436261     -0.3801776757    
        15 -0.2288622899      0.3814371498     -0.2288622899       1.568287403      0.1575028363       2.363971859      0.1575025496    
        15 -0.2288622899      0.3814371498     -0.2288622899       1.829958016       1.033217606      0.4045499014       1.033224653    
        15 -0.2288622899      0.3814371498     -0.2288622899       1.853576890      0.9708016403     -0.4954683104E-01  0.9708048750    
        16 -0.3051497199      0.4577245798     -0.3051497199       1.220825344     -0.5584766961      -2.027478609     -0.5584781942    
        16 -0.3051497199      0.4577245798     -0.3051497199       1.262111153     -0.6548446321     -0.6348081511     -0.6548409627    
        16 -0.3051497199      0.4577245798     -0.3051497199       1.384737948     -0.8347742201      0.1781237820     -0.8347777774    
        16 -0.3051497199      0.4577245798     -0.3051497199       1.683051383      0.8728356850       1.235528547      0.8728369817    
        16 -0.3051497199      0.4577245798     -0.3051497199       1.693201689       1.030728889     -0.9425583720E-01   1.030727075    
        16 -0.3051497199      0.4577245798     -0.3051497199       1.741916697      0.4725712356       1.789277561      0.4725775303    
        17 -0.3814371498      0.5340120098     -0.3814371498       1.162721456     -0.4771456838      -1.651239946     -0.4771449107    
        17 -0.3814371498      0.5340120098     -0.3814371498       1.322997701     -0.8319336701     -0.6196733658     -0.8319389530    
        17 -0.3814371498      0.5340120098     -0.3814371498       1.483043771      0.4422563040      0.7355119392E-01  0.4422562442    
        17 -0.3814371498      0.5340120098     -0.3814371498       1.575114556     -0.3506117809     -0.8483575933E-01 -0.3505853817    
        17 -0.3814371498      0.5340120098     -0.3814371498       1.578537447       1.116082914      0.6634681276       1.116057102    
