# Written on  3Jan2024 at 14:33:31 
# Input file comment: k-mesh for interpolation of mp-20351
#  Kpt_idx  K_x (1/ang)       K_y (1/ang)        K_z (1/ang)       Energy (eV)      EnergyDer_x       EnergyDer_y       EnergyDer_z
         1   0.000000000       0.000000000       0.000000000       7.324532462      0.1833202518E-03  0.5352208709E-03  0.2932995423E-02
         1   0.000000000       0.000000000       0.000000000       7.324534182      0.8510576951E-02 -0.3219141528E-02 -0.8779207119E-02
         1   0.000000000       0.000000000       0.000000000       7.324534990     -0.8702489138E-02  0.2661429507E-02  0.5853175538E-02
         2 -0.8868614695E-01  0.8868614695E-01 -0.8868614695E-01   6.397421059       5.098672438      -5.091080626       5.095084831    
         2 -0.8868614695E-01  0.8868614695E-01 -0.8868614695E-01   7.240028498      0.5980140493      0.5568307163E-01   1.186325802    
         2 -0.8868614695E-01  0.8868614695E-01 -0.8868614695E-01   7.240030217      0.5506451993      -1.211947944     -0.3410563471E-01
         3 -0.1773723045      0.1773723045     -0.1773723045       5.152065866       4.532841573      -4.530845284       4.531493669    
         3 -0.1773723045      0.1773723045     -0.1773723045       7.032372611       1.117204301      0.9601485781E-01   1.778571479    
         3 -0.1773723045      0.1773723045     -0.1773723045       7.032374650      0.7488102910      -1.964043698      0.8880835207E-01
         4 -0.2660584515      0.2660584515     -0.2660584515       3.925400835       4.460131696      -4.459905521       4.460147826    
         4 -0.2660584515      0.2660584515     -0.2660584515       6.788672549       1.101153633      0.2180889688       1.717542495    
         4 -0.2660584515      0.2660584515     -0.2660584515       6.788675119      0.6325957593      -1.952084792      0.1621949165E-01
         5 -0.3547445984      0.3547445984     -0.3547445984       2.835309780       3.685930648      -3.686000567       3.686122913    
         5 -0.3547445984      0.3547445984     -0.3547445984       6.576983674      0.6453978449      0.8868454206E-01   1.495864795    
         5 -0.3547445984      0.3547445984     -0.3547445984       6.576985978      0.7233180965      -1.457328114     -0.1273568201    
         6 -0.4434307560      0.4434307560     -0.4434307560       2.027280580       2.250897172      -2.251245510       2.251155442    
         6 -0.4434307560      0.4434307560     -0.4434307560       6.436964160      0.3995710828      0.7956214832E-01  0.7715368137    
         6 -0.4434307560      0.4434307560     -0.4434307560       6.436966969      0.3282012382     -0.8069844695     -0.4400111633E-01
         7 -0.5321169030      0.5321169030     -0.5321169030       1.712606386      0.2574092101E-04  0.2805848144E-04 -0.1323652787E-04
         7 -0.5321169030      0.5321169030     -0.5321169030       6.388309291      0.3513459299E-04 -0.4026605943E-04 -0.8540505660E-04
         7 -0.5321169030      0.5321169030     -0.5321169030       6.388311717     -0.5224856664E-04  0.1987397593E-04  0.1017443746E-03
         8 -0.6208030499      0.6208030499     -0.6208030499       2.027280446      -2.250947725       2.251194413      -2.251123976    
         8 -0.6208030499      0.6208030499     -0.6208030499       6.436964216     -0.2860215933     -0.1702382231E-01 -0.8226498101    
         8 -0.6208030499      0.6208030499     -0.6208030499       6.436966794     -0.4416961267      0.7445077446      0.9508701462E-01
         9 -0.7094892075      0.7094892075     -0.7094892075       2.835309824      -3.685885065       3.686022513      -3.686175312    
         9 -0.7094892075      0.7094892075     -0.7094892075       6.576983715     -0.7705339708     -0.1481505130      -1.430372679    
         9 -0.7094892075      0.7094892075     -0.7094892075       6.576986094     -0.5982252111       1.516770657      0.6190991790E-01
        10 -0.7981753545      0.7981753545     -0.7981753545       3.925400016      -4.460156801       4.459904152      -4.460087092    
        10 -0.7981753545      0.7981753545     -0.7981753545       6.788672662     -0.7412005551     -0.5945264357E-01  -1.919396697    
        10 -0.7981753545      0.7981753545     -0.7981753545       6.788674747     -0.9925416219       1.793433321      0.1855904446    
        11 -0.8868615014      0.8868615014     -0.8868615014       5.152065823      -4.532850590       4.530848425      -4.531529561    
        11 -0.8868615014      0.8868615014     -0.8868615014       7.032372568     -0.7498047233      0.5170357991E-01  -1.999161550    
