# Written on  8Apr2024 at 15:13:42 
# Input file comment: k-mesh for interpolation of mp-2605
#  Kpt_idx  K_x (1/ang)       K_y (1/ang)        K_z (1/ang)       Energy (eV)      EnergyDer_x       EnergyDer_y       EnergyDer_z
         1   0.000000000       0.000000000       0.000000000       7.778447998      0.1119171634E-05  0.6016831471E-06  0.1083019245E-05
         1   0.000000000       0.000000000       0.000000000       7.778448222      0.2429214500E-05 -0.1952928294E-05  0.1668091459E-05
         1   0.000000000       0.000000000       0.000000000       7.778448825      0.3019501052E-05  0.2014616972E-05 -0.3882948513E-06
         2 -0.1089216883      0.1089216883     -0.1089216883       7.520860558       1.461760108      -1.461756839       1.461753641    
         2 -0.1089216883      0.1089216883     -0.1089216883       7.679393960      0.5895694075     -0.3064492867      0.8376143369    
         2 -0.1089216883      0.1089216883     -0.1089216883       7.679393971      0.5661922995     -0.8493024873      0.3181381313    
         3 -0.2178433896      0.2178433896     -0.2178433896       6.924124271       2.049208492      -2.049210635       2.049214852    
         3 -0.2178433896      0.2178433896     -0.2178433896       7.429329100       1.141411637     -0.5465233975       1.025605960    
         3 -0.2178433896      0.2178433896     -0.2178433896       7.429329122      0.6676082393      -1.262501034      0.7834314448    
         4 -0.3267650778      0.3267650778     -0.3267650778       6.251819054       1.981309064      -1.981308262       1.981305521    
         4 -0.3267650778      0.3267650778     -0.3267650778       7.119889708      0.7611298164     -0.6459027116       1.415069226    
         4 -0.3267650778      0.3267650778     -0.3267650778       7.119889734       1.120270403      -1.235500373      0.4663306778    
         5 -0.4356867661      0.4356867661     -0.4356867661       5.673171056       1.512657187      -1.512657840       1.512654357    
         5 -0.4356867661      0.4356867661     -0.4356867661       6.840473629      0.6068063177      -1.029961222      0.5905291100    
         5 -0.4356867661      0.4356867661     -0.4356867661       6.840473799      0.8780607808     -0.4549076127      0.8943274783    
         6 -0.5446084674      0.5446084674     -0.5446084674       5.287419909      0.8164681023     -0.8164684247      0.8164718507    
         6 -0.5446084674      0.5446084674     -0.5446084674       6.649535095      0.6101005180     -0.2333575641      0.3741777955    
         6 -0.5446084674      0.5446084674     -0.5446084674       6.649535407      0.2016514924     -0.5783963853      0.4375856938    
         7 -0.6535301557      0.6535301557     -0.6535301557       5.152948921     -0.9503299422E-06  0.3025246013E-06 -0.3477469922E-06
         7 -0.6535301557      0.6535301557     -0.6535301557       6.582764007     -0.8214812886E-06  0.1480178083E-05 -0.2802632828E-06
         7 -0.6535301557      0.6535301557     -0.6535301557       6.582764262     -0.5312907729E-06  0.4424401128E-06 -0.7757019934E-06
         8 -0.7624518439      0.7624518439     -0.7624518439       5.287420205     -0.8164685869      0.8164685518     -0.8164720646    
         8 -0.7624518439      0.7624518439     -0.7624518439       6.649535272     -0.5269298466      0.3573376241     -0.3333667376    
         8 -0.7624518439      0.7624518439     -0.7624518439       6.649535635     -0.2848205953      0.4544165142     -0.4783954315    
         9 -0.8713735452      0.8713735452     -0.8713735452       5.673171060      -1.512655964       1.512657199      -1.512652662    
         9 -0.8713735452      0.8713735452     -0.8713735452       6.840473609     -0.9741412848      0.6299691813     -0.6231854901    
         9 -0.8713735452      0.8713735452     -0.8713735452       6.840473949     -0.5107277647      0.8548983300     -0.8616715508    
