# Written on  3Jan2024 at 16:51:26 
# Input file comment: k-mesh for interpolation of mp-2160
#  Kpt_idx  K_x (1/ang)       K_y (1/ang)        K_z (1/ang)       Energy (eV)      EnergyDer_x       EnergyDer_y       EnergyDer_z
         1   0.000000000       0.000000000       0.000000000       2.795710218     -0.2217952568E-04 -0.1609365765E-04 -0.3614867175E-05
         1   0.000000000       0.000000000       0.000000000       2.910166958     -0.1106065131E-04  0.7710668745E-05  0.5214404943E-04
         1   0.000000000       0.000000000       0.000000000       3.321436804      0.1079566880E-04  0.6029288831E-05 -0.6734541239E-05
         1   0.000000000       0.000000000       0.000000000       3.491080530     -0.1205312322E-04 -0.8458488910E-05  0.2318237207E-04
         1   0.000000000       0.000000000       0.000000000       3.784277835      0.5645079362E-05  0.5352856061E-04  0.3388227626E-03
         1   0.000000000       0.000000000       0.000000000       3.908545165     -0.1743687250E-04  0.3862402188E-04  0.2853226219E-03
         1   0.000000000       0.000000000       0.000000000       4.017746482     -0.3843894971E-05  0.3130565363E-05 -0.1421047191E-04
         1   0.000000000       0.000000000       0.000000000       4.120745614      0.3304561537E-04  0.7710401169E-05  0.1367155634E-03
         1   0.000000000       0.000000000       0.000000000       4.354641631      0.3172196593E-05  0.1798801198E-05  0.6060052179E-04
         1   0.000000000       0.000000000       0.000000000       4.386041353      0.2804426180E-04  0.5590343685E-05  0.1877424223E-03
         1   0.000000000       0.000000000       0.000000000       4.691753905      0.5401012745E-05  0.1468255333E-04  0.8832376058E-04
         1   0.000000000       0.000000000       0.000000000       4.783761118      0.7953702433E-04 -0.4884455104E-04  0.8183423170E-04
         1   0.000000000       0.000000000       0.000000000       4.844515772      0.2358476818E-04  0.3234067401E-04  0.1026383965E-03
         1   0.000000000       0.000000000       0.000000000       4.845554599     -0.2937213338E-04 -0.4579458954E-04 -0.7438315276E-05
         1   0.000000000       0.000000000       0.000000000       5.026848287     -0.1070582459E-04  0.3977016790E-05 -0.1859813430E-04
         1   0.000000000       0.000000000       0.000000000       5.091852276      0.8285535415E-04 -0.5771926441E-04  0.3312231563E-04
         1   0.000000000       0.000000000       0.000000000       5.128580117     -0.3881044335E-04 -0.5275930889E-04  0.2161503153E-04
         1   0.000000000       0.000000000       0.000000000       5.162516929     -0.1961490697E-04  0.1402762231E-04 -0.1022507428E-03
         1   0.000000000       0.000000000       0.000000000       5.394395024     -0.6605840505E-04  0.1843602546E-04 -0.5897730486E-04
         1   0.000000000       0.000000000       0.000000000       5.503389755      0.2016157752E-04  0.3563252719E-05 -0.9477069358E-04
         1   0.000000000       0.000000000       0.000000000       5.782979883      0.2429392256E-04 -0.1738656299E-04 -0.1119621244E-03
         1   0.000000000       0.000000000       0.000000000       5.911211124      0.1114450847E-04  0.2177483687E-04 -0.5912006418E-04
         1   0.000000000       0.000000000       0.000000000       5.940082429      0.7216475766E-05  0.6661234162E-05 -0.1885644288E-03
         1   0.000000000       0.000000000       0.000000000       6.109356715     -0.1076737432E-04 -0.2672956329E-05  0.1956890143E-05
         1   0.000000000       0.000000000       0.000000000       6.218772891     -0.1618439845E-04 -0.3640471895E-04 -0.5450382219E-04
         1   0.000000000       0.000000000       0.000000000       6.346649278     -0.6104566514E-04 -0.1190642847E-03 -0.1018794696E-03
         1   0.000000000       0.000000000       0.000000000       6.375986146      0.7775310913E-05  0.3577156383E-04 -0.1255053396E-03
         1   0.000000000       0.000000000       0.000000000       6.514577475      0.4865184186E-04  0.1813247273E-03 -0.7869220313E-04
         1   0.000000000       0.000000000       0.000000000       6.528686638     -0.5835884086E-04 -0.1270080371E-03 -0.6552025887E-04
         1   0.000000000       0.000000000       0.000000000       6.582485503      0.1939915016E-04  0.1295522388E-03 -0.1241017456E-03
         1   0.000000000       0.000000000       0.000000000       6.664573071      0.1669084346E-04 -0.2340935498E-04  0.1708974903E-04
         1   0.000000000       0.000000000       0.000000000       6.675969103     -0.3162271142E-04  0.1131564004E-04 -0.1184261851E-03
         1   0.000000000       0.000000000       0.000000000       6.979829208      0.3470204368E-04  0.8924901148E-05 -0.9380001849E-06
         1   0.000000000       0.000000000       0.000000000       7.134385866     -0.2185189423E-04 -0.2447260357E-04 -0.7854231828E-05
         1   0.000000000       0.000000000       0.000000000       7.153013829      0.3538112859E-04  0.6441689111E-05 -0.5987715189E-04
         1   0.000000000       0.000000000       0.000000000       7.182966342     -0.6697209077E-04 -0.3209601384E-04 -0.2809369699E-04
         2   0.000000000       0.000000000      0.1270657805       2.824208223     -0.1781647723E-02  0.2190493729E-04  0.4309023929    
         2   0.000000000       0.000000000      0.1270657805       2.922188896      0.2049788197E-03  0.2058216470E-04  0.5157923599E-01
         2   0.000000000       0.000000000      0.1270657805       3.305693288     -0.1013727739E-03 -0.1098615608E-03  0.5613301004E-01
         2   0.000000000       0.000000000      0.1270657805       3.581678770      0.1937804328E-03  0.1643053985E-02   1.321242166    
         2   0.000000000       0.000000000      0.1270657805       3.611221114      0.3230304772E-03 -0.1790739934E-02  -1.891965621    
         2   0.000000000       0.000000000      0.1270657805       3.938025841      0.2546275720E-04  0.4616170633E-03  0.4632047854    
         2   0.000000000       0.000000000      0.1270657805       4.078283739      0.2889397157E-03 -0.3501829568E-03 -0.1615397775    
         2   0.000000000       0.000000000      0.1270657805       4.148400821     -0.4096900081E-04 -0.6424595998E-05  0.4273663570    
         2   0.000000000       0.000000000      0.1270657805       4.162244462     -0.1060213090E-02  0.3635991328E-05  -2.353449758    
         2   0.000000000       0.000000000      0.1270657805       4.326806160     -0.3048336973E-04 -0.8423213052E-05 -0.7697495641    
         2   0.000000000       0.000000000      0.1270657805       4.690512297     -0.2596563769E-03 -0.7559685243E-04  0.8697566215E-01
         2   0.000000000       0.000000000      0.1270657805       4.735177863      0.1473714534E-04 -0.1525357135E-04  0.5268473097    
         2   0.000000000       0.000000000      0.1270657805       4.833329868     -0.1195779056E-04  0.8220754135E-05 -0.1816130216    
         2   0.000000000       0.000000000      0.1270657805       4.875940153      0.6226882668E-04  0.3317579965E-05  0.4711622766    
         2   0.000000000       0.000000000      0.1270657805       5.043126539     -0.1449363607E-03  0.6216268439E-03 -0.9660695456    
         2   0.000000000       0.000000000      0.1270657805       5.066777616      0.6468550115E-05  0.4727751795E-04 -0.8044904768    
         2   0.000000000       0.000000000      0.1270657805       5.152128006      0.1813876528E-03 -0.4447011006E-03   1.982228677    
         2   0.000000000       0.000000000      0.1270657805       5.432183068      0.2296311222E-04  0.2560266711E-04  0.4972167844    
         2   0.000000000       0.000000000      0.1270657805       5.503201737     -0.2580898581E-03 -0.6343888521E-04   3.165591258    
         2   0.000000000       0.000000000      0.1270657805       5.568003977     -0.1675212327E-04  0.5869394131E-05  0.8408063969    
         2   0.000000000       0.000000000      0.1270657805       5.756947288     -0.2517528082E-04  0.1899853691E-04 -0.4155030781    
         2   0.000000000       0.000000000      0.1270657805       5.764208676     -0.5724784099E-04 -0.6600418937E-05  -1.074341961    
         2   0.000000000       0.000000000      0.1270657805       5.961766736      0.1444318083E-02  0.8466399463E-04  0.4464155477    
         2   0.000000000       0.000000000      0.1270657805       6.030026193     -0.5443315312E-04 -0.2714325006E-03  -1.474624129    
         2   0.000000000       0.000000000      0.1270657805       6.205685633     -0.9616094495E-04  0.1871572526E-03  0.2582453514    
         2   0.000000000       0.000000000      0.1270657805       6.270136993      0.7518916323E-03  0.7701898822E-04  -3.229756048    
         2   0.000000000       0.000000000      0.1270657805       6.351900292      0.9111772466E-04  0.7070988042E-04  0.1425589078    
         2   0.000000000       0.000000000      0.1270657805       6.472296390     -0.8420294232E-05  0.2024904198E-03 -0.6456723895    
         2   0.000000000       0.000000000      0.1270657805       6.541430076      0.3648045961E-05 -0.3847208060E-03  0.3526210446    
         2   0.000000000       0.000000000      0.1270657805       6.598945281     -0.3613334042E-04  0.4488923640E-04  0.5568973962E-01
         2   0.000000000       0.000000000      0.1270657805       6.601635321      0.2194290748E-03 -0.3967453717E-04   1.936710036    
         2   0.000000000       0.000000000      0.1270657805       6.838649941      0.6097954251E-04 -0.3179689532E-04 -0.1268832844    
         2   0.000000000       0.000000000      0.1270657805       7.010687165     -0.4682312458E-03 -0.3589989414E-04  0.6576375032    
         2   0.000000000       0.000000000      0.1270657805       7.045566307      0.7109295337E-04  0.1668459610E-03 -0.4219637333    
         2   0.000000000       0.000000000      0.1270657805       7.232137168     -0.1535666247E-03 -0.1589933786E-02  0.4746331862    
         2   0.000000000       0.000000000      0.1270657805       7.237508907      0.6392316780E-03  0.1506247740E-02  0.5410662898    
         3   0.000000000       0.000000000      0.2541315609       2.890938691     -0.3967777755E-04 -0.2954001242E-04 -0.6264669097E-05
         3   0.000000000       0.000000000      0.2541315609       2.890973171      0.2221615443E-05  0.1770039555E-04  0.1449026184E-04
         3   0.000000000       0.000000000      0.2541315609       3.393701081     -0.6527741661E-05  0.2376014624E-04  0.3245962304E-03
         3   0.000000000       0.000000000      0.2541315609       3.393704889      0.2247260197E-04  0.2174647695E-06 -0.9443115399E-04
         3   0.000000000       0.000000000      0.2541315609       3.818412022     -0.1433853264E-04 -0.2275297158E-04 -0.5426850129E-04
         3   0.000000000       0.000000000      0.2541315609       3.818438880     -0.1136191623E-04  0.1285300104E-04  0.1053786288E-03
         3   0.000000000       0.000000000      0.2541315609       4.020959225     -0.4385542904E-04  0.5786587875E-04  0.2235565134E-03
         3   0.000000000       0.000000000      0.2541315609       4.020991847      0.5114830457E-04  0.3202341842E-04  0.1368399407E-03
         3   0.000000000       0.000000000      0.2541315609       4.225057591     -0.5225184006E-04  0.2964028606E-04  0.2104502202E-03
         3   0.000000000       0.000000000      0.2541315609       4.225085909      0.1109354091E-03 -0.1743137392E-04  0.9048076279E-04
         3   0.000000000       0.000000000      0.2541315609       4.796713511      0.3229695270E-04 -0.2390557052E-04  0.2104647284E-03
         3   0.000000000       0.000000000      0.2541315609       4.796719143      0.7186696599E-06  0.6985876422E-04 -0.1580089441E-04
         3   0.000000000       0.000000000      0.2541315609       4.848952241      0.4586998995E-04  0.1116771187E-03  0.4220598818E-03
         3   0.000000000       0.000000000      0.2541315609       4.848991577      0.6208395908E-04 -0.2162239223E-03 -0.3016577009E-04
         3   0.000000000       0.000000000      0.2541315609       4.959443270     -0.5401309083E-04 -0.1923047455E-05 -0.1324790305E-04
         3   0.000000000       0.000000000      0.2541315609       4.959471936     -0.4100119912E-05 -0.8305094038E-04  0.3587199246E-04
         3   0.000000000       0.000000000      0.2541315609       5.381339784     -0.3601658420E-04  0.6189022252E-05 -0.1559773608E-03
         3   0.000000000       0.000000000      0.2541315609       5.381362751     -0.1418672285E-04  0.7355967852E-04 -0.2772373075E-03
         3   0.000000000       0.000000000      0.2541315609       5.678223133     -0.2448331723E-04  0.1690133581E-04  0.5761318949E-05
         3   0.000000000       0.000000000      0.2541315609       5.678233391      0.5733841052E-04 -0.4460859692E-04 -0.1903492189E-03
         3   0.000000000       0.000000000      0.2541315609       5.819228731      0.4455967135E-04 -0.1338658533E-03  0.3817013525E-02
         3   0.000000000       0.000000000      0.2541315609       5.819231742     -0.2333187189E-04  0.1109662023E-03 -0.3941549073E-02
         3   0.000000000       0.000000000      0.2541315609       5.854363312     -0.3066821006E-04 -0.1859861234E-04  0.1173520450E-02
         3   0.000000000       0.000000000      0.2541315609       5.854369380      0.3914932942E-05  0.8584153892E-05 -0.1345684100E-02
         3   0.000000000       0.000000000      0.2541315609       6.135801082      0.1920361909E-04  0.5547271581E-04  0.4669582670E-04
         3   0.000000000       0.000000000      0.2541315609       6.135836668     -0.4544932590E-05 -0.6592596029E-04 -0.8537548123E-04
         3   0.000000000       0.000000000      0.2541315609       6.393913393      0.1822431550E-04 -0.2124151963E-03 -0.1645322519E-03
         3   0.000000000       0.000000000      0.2541315609       6.393927584     -0.9930545951E-04  0.9548793547E-04 -0.4616976448E-04
         3   0.000000000       0.000000000      0.2541315609       6.584555145      0.7792619136E-05  0.2422866171E-03 -0.2285664295E-03
         3   0.000000000       0.000000000      0.2541315609       6.584612089      0.2585279092E-04 -0.5958890988E-04  0.5898024839E-04
         3   0.000000000       0.000000000      0.2541315609       6.772347581     -0.2429194005E-04 -0.7841611926E-05 -0.2504324010E-04
         3   0.000000000       0.000000000      0.2541315609       6.772360201     -0.1523946749E-04  0.3838117497E-05 -0.9105803319E-04
         3   0.000000000       0.000000000      0.2541315609       7.042322197     -0.4045169032E-06  0.1232096899E-03 -0.9175013821E-04
         3   0.000000000       0.000000000      0.2541315609       7.042327850      0.6576654919E-05 -0.1294977678E-03  0.2815956457E-04
         3   0.000000000       0.000000000      0.2541315609       7.270214978      0.3095912767E-04 -0.2042175868E-03 -0.4932425330E-04
         3   0.000000000       0.000000000      0.2541315609       7.270228403     -0.4105747090E-04  0.1790507860E-03  0.2998554563E-05
         4   0.000000000       0.000000000      0.3811973414       2.824208223      0.1823291248E-02  0.5074403953E-05 -0.4308958613    
         4   0.000000000       0.000000000      0.3811973414       2.922188898     -0.1757436145E-03 -0.2835799060E-04 -0.5164973582E-01
         4   0.000000000       0.000000000      0.3811973414       3.305693289      0.7994154342E-04  0.9689584455E-04 -0.5620958892E-01
         4   0.000000000       0.000000000      0.3811973414       3.581678768     -0.1691743267E-03 -0.1627570401E-02  -1.321271324    
         4   0.000000000       0.000000000      0.3811973414       3.611221114     -0.3300259802E-03  0.1739326187E-02   1.891568539    
         4   0.000000000       0.000000000      0.3811973414       3.938025843     -0.5582976506E-05 -0.5454350483E-03 -0.4637107465    
         4   0.000000000       0.000000000      0.3811973414       4.078283739     -0.2833236435E-03  0.2713951311E-03  0.1613098597    
         4   0.000000000       0.000000000      0.3811973414       4.148400821     -0.2301483622E-04 -0.8284970447E-05 -0.4276464119    
         4   0.000000000       0.000000000      0.3811973414       4.162244464      0.1056410310E-02  0.4884517727E-05   2.353376293    
         4   0.000000000       0.000000000      0.3811973414       4.326806162     -0.2351630519E-04 -0.2465284714E-05  0.7694101030    
         4   0.000000000       0.000000000      0.3811973414       4.690512297      0.1660741240E-03  0.1675464271E-03 -0.8724548102E-01
         4   0.000000000       0.000000000      0.3811973414       4.735177865     -0.3561179131E-04 -0.2073856652E-04 -0.5270386137    
         4   0.000000000       0.000000000      0.3811973414       4.833329869     -0.3174418101E-04 -0.6552679650E-04  0.1814110491    
         4   0.000000000       0.000000000      0.3811973414       4.875940151     -0.2638665468E-05  0.8459574155E-04 -0.4711631248    
         4   0.000000000       0.000000000      0.3811973414       5.043126542     -0.8779427517E-05 -0.4982560670E-03  0.9657741824    
         4   0.000000000       0.000000000      0.3811973414       5.066777622      0.6084890113E-04  0.4515490587E-04  0.8044602181    
         4   0.000000000       0.000000000      0.3811973414       5.152128005     -0.1957915104E-03  0.4066044085E-03  -1.981984961    
         4   0.000000000       0.000000000      0.3811973414       5.432183069      0.1093772324E-03 -0.9274838355E-04 -0.4968468755    
         4   0.000000000       0.000000000      0.3811973414       5.503201735      0.2798629923E-03  0.7541113847E-04  -3.165504785    
         4   0.000000000       0.000000000      0.3811973414       5.568003980     -0.1502107868E-04  0.3924773182E-05 -0.8406284679    
         4   0.000000000       0.000000000      0.3811973414       5.756947286     -0.1668807203E-04  0.1541176984E-04  0.4157126345    
         4   0.000000000       0.000000000      0.3811973414       5.764208683      0.3970412043E-04 -0.1437449297E-04   1.074457373    
         4   0.000000000       0.000000000      0.3811973414       5.961766733     -0.1470999355E-02 -0.9253705105E-04 -0.4460909880    
         4   0.000000000       0.000000000      0.3811973414       6.030026196      0.4853870102E-04  0.2813166388E-03   1.474747297    
         4   0.000000000       0.000000000      0.3811973414       6.205685636      0.1093624126E-03 -0.1646164326E-03 -0.2582074275    
         4   0.000000000       0.000000000      0.3811973414       6.270136992     -0.7347918206E-03 -0.5961289872E-04   3.229837661    
         4   0.000000000       0.000000000      0.3811973414       6.351900294      0.9734296775E-05  0.1024798474E-03 -0.1423491208    
         4   0.000000000       0.000000000      0.3811973414       6.472296408      0.9083181984E-04 -0.7451093525E-04  0.6458588962    
         4   0.000000000       0.000000000      0.3811973414       6.541430102     -0.7367325503E-04  0.1030699702E-03 -0.3524614890    
         4   0.000000000       0.000000000      0.3811973414       6.598945280      0.2281561253E-04 -0.1951216734E-03 -0.5549516732E-01
         4   0.000000000       0.000000000      0.3811973414       6.601635329     -0.2097526694E-03  0.2155620847E-04  -1.936547921    
         4   0.000000000       0.000000000      0.3811973414       6.838649943     -0.1054902415E-04  0.3206627839E-04  0.1269684025    
         4   0.000000000       0.000000000      0.3811973414       7.010687166      0.4227376754E-03  0.4320703711E-04 -0.6575948865    
         4   0.000000000       0.000000000      0.3811973414       7.045566309     -0.7003461202E-04 -0.1523890224E-03  0.4220269009    
         4   0.000000000       0.000000000      0.3811973414       7.232137167      0.1374744676E-03  0.1610027204E-02 -0.4745740023    
         4   0.000000000       0.000000000      0.3811973414       7.237508909     -0.5684597314E-03 -0.1466340446E-02 -0.5410139619    
         5   0.000000000      0.1340998871       0.000000000       2.822292606      0.4845356697E-04  0.5023048590      0.1573438295E-04
         5   0.000000000      0.1340998871       0.000000000       2.967015105      0.6735868380E-05  0.7781040460     -0.2484867399E-05
         5   0.000000000      0.1340998871       0.000000000       3.220791159      0.8212720744E-05  -1.064937526      0.5438709634E-04
         5   0.000000000      0.1340998871       0.000000000       3.268666094     -0.4535894181E-04  -2.584667703     -0.1340917423E-03
         5   0.000000000      0.1340998871       0.000000000       3.704908247      0.7637080579E-04 -0.5843761390     -0.3193539710E-03
         5   0.000000000      0.1340998871       0.000000000       3.820080431      0.1038784008E-03 -0.2512835809     -0.2163720552E-03
         5   0.000000000      0.1340998871       0.000000000       4.169900089     -0.2537872699E-03  0.7282687981     -0.1333413730E-03
         5   0.000000000      0.1340998871       0.000000000       4.414324478      0.1947022904E-03  0.3475261568     -0.2098414293E-03
         5   0.000000000      0.1340998871       0.000000000       4.486354104     -0.1832983116E-05   2.244901547     -0.4172846397E-03
         5   0.000000000      0.1340998871       0.000000000       4.515623444     -0.2375248132E-05   4.352277131      0.3227622638E-03
         5   0.000000000      0.1340998871       0.000000000       4.556571248     -0.2752903311E-03  -1.858390273     -0.4799354650E-04
         5   0.000000000      0.1340998871       0.000000000       4.629732649      0.3521128960E-03 -0.7880385302     -0.9604970393E-04
         5   0.000000000      0.1340998871       0.000000000       4.753365950      0.5688832901E-05 -0.3516315330     -0.3100992086E-03
         5   0.000000000      0.1340998871       0.000000000       4.786013470      0.1885287349E-05  -1.113198187      0.4475601767E-04
         5   0.000000000      0.1340998871       0.000000000       5.148889986      0.1686976920E-03   1.995930453     -0.8399491369E-04
         5   0.000000000      0.1340998871       0.000000000       5.174173590      0.2828258386E-03 -0.1850044879      0.1927249313E-03
         5   0.000000000      0.1340998871       0.000000000       5.181756203     -0.1791962529E-03  0.6647073634      0.6819206700E-04
         5   0.000000000      0.1340998871       0.000000000       5.321956330     -0.4282187211E-04  0.5915676673      0.7488637388E-04
         5   0.000000000      0.1340998871       0.000000000       5.480151120     -0.2199829203E-03 -0.1748378445      0.7806101948E-04
         5   0.000000000      0.1340998871       0.000000000       5.481744524     -0.3503219149E-03  0.5196580698     -0.4724945201E-05
         5   0.000000000      0.1340998871       0.000000000       5.655787856     -0.1029810289E-03  -2.343582195      0.1367062941E-03
         5   0.000000000      0.1340998871       0.000000000       5.729195537      0.2618391451E-03 -0.8447554351      0.8674393998E-04
         5   0.000000000      0.1340998871       0.000000000       6.073813006     -0.4844182314E-04  0.4268822260     -0.4082007504E-04
         5   0.000000000      0.1340998871       0.000000000       6.104303173     -0.2812211240E-03 -0.7533386219     -0.2467751457E-04
         5   0.000000000      0.1340998871       0.000000000       6.187031817     -0.6178698325E-05   1.860292332     -0.3932980072E-03
         5   0.000000000      0.1340998871       0.000000000       6.191605637      0.2050347190E-03  -1.652584544      0.5965275596E-03
         5   0.000000000      0.1340998871       0.000000000       6.380407573      0.1497552651E-03  0.4435824050      0.8049929477E-04
         5   0.000000000      0.1340998871       0.000000000       6.480176059     -0.2158745032E-03 -0.2750220429      0.3059415059E-03
         5   0.000000000      0.1340998871       0.000000000       6.538891983      0.2601869457E-04 -0.1705620637E-01 -0.5060458072E-03
         5   0.000000000      0.1340998871       0.000000000       6.566789564     -0.2223203952E-04 -0.2120324178      0.5029931567E-03
         5   0.000000000      0.1340998871       0.000000000       6.694162170      0.1125180846E-04  0.3051438110      0.3205089443E-02
         5   0.000000000      0.1340998871       0.000000000       6.698433201     -0.1702773893E-03 -0.6603524845     -0.3023341672E-02
         5   0.000000000      0.1340998871       0.000000000       6.966371448     -0.1483752937E-03  -1.481987132     -0.2618203972E-03
         5   0.000000000      0.1340998871       0.000000000       7.021539215      0.2716439941E-03  0.3169499141      0.2383072741E-03
