# Written on  3Jan2024 at 14:26:57 
# Input file comment: k-mesh for interpolation of mp-66
#  Kpt_idx  K_x (1/ang)       K_y (1/ang)        K_z (1/ang)       Energy (eV)      EnergyDer_x       EnergyDer_y       EnergyDer_z
         1   0.000000000       0.000000000       0.000000000      -8.098172855      0.5537703751E-06  0.1639442225E-05 -0.6603797016E-06
         1   0.000000000       0.000000000       0.000000000       13.41087999      0.1820993646E-03 -0.2949506726E-03  0.1754022632E-03
         1   0.000000000       0.000000000       0.000000000       13.41088129     -0.1613594052E-03  0.3202803305E-03 -0.1591851951E-03
         1   0.000000000       0.000000000       0.000000000       13.41088564     -0.2061593127E-04 -0.2306260335E-04 -0.2076874536E-04
         2 -0.1470475706      0.1470475706     -0.1470475706      -7.905489419     -0.8735111036      0.8735104490     -0.8735065750    
         2 -0.1470475706      0.1470475706     -0.1470475706       12.18054215       4.901842730      -4.901844643       4.901836150    
         2 -0.1470475706      0.1470475706     -0.1470475706       13.08528219      0.8228451313      -3.038111045      0.1333192544    
         2 -0.1470475706      0.1470475706     -0.1470475706       13.08528241       1.839938937      0.3753305946       2.529447154    
         3 -0.2940951588      0.2940951588     -0.2940951588      -7.329690657      -1.733257061       1.733257441      -1.733265119    
         3 -0.2940951588      0.2940951588     -0.2940951588       9.648471176       6.256485722      -6.256486381       6.256489310    
         3 -0.2940951588      0.2940951588     -0.2940951588       12.38184691     -0.3216533688      -2.599074554       2.885044201    
         3 -0.2940951588      0.2940951588     -0.2940951588       12.38184733       3.763222795     -0.8424952817      0.5565403894    
         4 -0.4411427294      0.4411427294     -0.4411427294      -6.379156395      -2.569976499       2.569977692      -2.569974484    
         4 -0.4411427294      0.4411427294     -0.4411427294       6.809451337       6.477343859      -6.477342827       6.477344256    
         4 -0.4411427294      0.4411427294     -0.4411427294       11.65606016       2.264278698      0.3191201890       2.583913231    
         4 -0.4411427294      0.4411427294     -0.4411427294       11.65606031      0.7549001645      -3.338296808      0.4352642653    
         5 -0.5881903000      0.5881903000     -0.5881903000      -5.074839317      -3.321208157       3.321208468      -3.321204721    
         5 -0.5881903000      0.5881903000     -0.5881903000       4.024501385       6.083471601      -6.083471395       6.083466149    
         5 -0.5881903000      0.5881903000     -0.5881903000       11.08043250       1.820523153      -1.986420463     -0.5763194978    
         5 -0.5881903000      0.5881903000     -0.5881903000       11.08043344      0.3332047989     -0.1673058882       2.730031220    
         6 -0.7352378882      0.7352378882     -0.7352378882      -3.490770387      -3.735742885       3.735743137      -3.735745938    
         6 -0.7352378882      0.7352378882     -0.7352378882       1.510106901       5.165052875      -5.165053191       5.165051189    
         6 -0.7352378882      0.7352378882     -0.7352378882       10.71941348      0.6925729753      0.2367030455       1.191270365    
         6 -0.7352378882      0.7352378882     -0.7352378882       10.71941367      0.4056474506      -1.334922214     -0.9304009123E-01
         7 -0.8822854588      0.8822854588     -0.8822854588      -2.297715187     -0.3162530184E-07  0.7760499913E-06  0.8601009724E-06
         7 -0.8822854588      0.8822854588     -0.8822854588      0.8851974000E-03  0.5214217713E-06 -0.9802383155E-06  0.1265070582E-05
